year	prov	sex	ageGrp	pop
2550 	67 	2 	35 	88007
2550 	67 	2 	45 	70695
2550 	67 	2 	55 	41335
2550 	67 	2 	65 	44142
2551 	53 	1 	0 	13083
2551 	53 	1 	5 	14196
2551 	53 	1 	10 	16640
2551 	53 	1 	15 	32127
2551 	53 	1 	25 	37519
2551 	53 	1 	35 	40441
2551 	53 	1 	45 	35206
2551 	53 	1 	55 	20877
2551 	53 	1 	65 	19334
2551 	53 	2 	0 	12231
2551 	53 	2 	5 	13254
2551 	53 	2 	10 	15550
2551 	53 	2 	15 	30651
2551 	53 	2 	25 	36837
2551 	53 	2 	35 	41777
2551 	53 	2 	45 	37267
2551 	53 	2 	55 	22740
2551 	53 	2 	65 	25011
2551 	63 	1 	0 	24131
2551 	63 	1 	5 	24224
2551 	63 	1 	10 	24807
2551 	63 	1 	15 	44432
2551 	63 	1 	25 	44369
2551 	63 	1 	35 	42124
2551 	63 	1 	45 	33420
2551 	63 	1 	55 	19101
2551 	63 	1 	65 	15994
2551 	63 	2 	0 	22401
2551 	63 	2 	5 	22512
2551 	63 	2 	10 	22797
2551 	63 	2 	15 	40976
2551 	63 	2 	25 	41358
2551 	63 	2 	35 	40896
2551 	63 	2 	45 	32855
2551 	63 	2 	55 	19403
2551 	63 	2 	65 	18829
2551 	64 	1 	0 	17516
2551 	64 	1 	5 	18017
2551 	64 	1 	10 	22005
2551 	64 	1 	15 	41622
2551 	64 	1 	25 	49751
2551 	64 	1 	35 	53294
2551 	64 	1 	45 	44959
2551 	64 	1 	55 	25421
2551 	64 	1 	65 	22402
2551 	64 	2 	0 	16090
2551 	64 	2 	5 	16553
2551 	64 	2 	10 	20484
2551 	64 	2 	15 	40350
2551 	64 	2 	25 	49185
2551 	64 	2 	35 	56256
2551 	64 	2 	45 	48936
2551 	64 	2 	55 	29661
2551 	64 	2 	65 	32057
2551 	65 	1 	0 	25054
2551 	65 	1 	5 	25440
2551 	65 	1 	10 	30903
2551 	65 	1 	15 	65463
2551 	65 	1 	25 	70224
2551 	65 	1 	35 	72733
2551 	65 	1 	45 	60887
2551 	65 	1 	55 	33854
2551 	65 	1 	65 	30151
2551 	65 	2 	0 	23426
2551 	65 	2 	5 	24348
2551 	65 	2 	10 	29250
2551 	65 	2 	15 	63736
2551 	65 	2 	25 	69182
2551 	65 	2 	35 	76749
2551 	65 	2 	45 	64237
