distID x y distcode distname provname
237 942799.74 1597327.76 3108 "Ban Kruat" "Buri Ram"
238 927253.93 1722384.88 3109 "Phu Thai Song" "Buri Ram"
239 914391.49 1663781.80 3110 "Lam Plai Mat" "Buri Ram"
240 963308.96 1688016.42 3111 "Satuk" "Buri Ram"
241 896113.25 1597761.68 3112 "Pa Kham" "Buri Ram"
242 922591.29 1739815.89 3113 "Na Pho" "Buri Ram"
243 895701.71 1646721.74 3114 "Nong Hong" "Buri Ram"
244 949291.02 1631660.32 3115 "Phlapphlachai" "Buri Ram"
245 955324.36 1663740.87 3116 "Huai Rat" "Buri Ram"
246 886158.62 1612107.18 3117 "Non Suwan" "Buri Ram"
247 911437.79 1638762.76 3118 "Cham Ni" "Buri Ram"
248 913623.92 1725863.87 3119 "Ban Mai Chai Phot" "Buri Ram"
249 891130.48 1578524.65 3120 "Non Din Daeng" "Buri Ram"
250 951026.28 1677917.38 3121 "Ban Dan" "Buri Ram"
251 944035.53 1698555.39 3122 "Khaen Dong" "Buri Ram"
252 916480.98 1614811.74 3123 "Chalermphrakiet" "Buri Ram"
253 984110.50 1653274.43 3201 "Muang Surin" "Surin"
254 966157.52 1705319.44 3202 "Chumphon Buri" "Surin"
255 997199.75 1697729.49 3203 "Tha Tum" "Surin"
256 991524.79 1678278.96 3204 "Chom Phra" "Surin"
257 976532.69 1622501.86 3205 "Phrasat" "Surin"
258 994176.76 1604622.37 3206 "Kap Choeng" "Surin"
259 1029222.00 1700633.56 3207 "Rattana Buri" "Surin"
260 1014239.03 1685561.52 3208 "Sanom" "Surin"
261 1016059.59 1658521.49 3209 "Si Khonlaphum" "Surin"
262 1021589.11 1613463.44 3210 "Sangkha" "Surin"
263 1005432.10 1632256.43 3211 "Lam Duan" "Surin"
264 1030668.58 1668154.54 3212 "Samrong Thap" "Surin"
265 1036631.74 1607604.47 3213 "Bua Chet" "Surin"
266 965494.55 1600216.81 3214 "Phanom Dong Rak" "Surin"
267 1026882.64 1642196.00 3215 "Sri Narong" "Surin"
268 996201.82 1665257.95 3216 "Kwao Si Narin" "Surin"
269 1028924.54 1685982.05 3217 "Non Narai" "Surin"
270 1074653.59 1676341.65 3301 "Muang Si Sa Ket" "Si Sa Ket"
271 1079531.04 1692722.17 3302 "Yang Chum Noi" "Si Sa Ket"
272 1100251.59 1677964.21 3303 "Kanthararom" "Si Sa Ket"
273 1115217.26 1618473.67 3304 "Kantharalak" "Si Sa Ket"
274 1055752.68 1634273.05 3305 "Khukhan" "Si Sa Ket"
275 1076537.19 1639207.11 3306 "Phrai Bung" "Si Sa Ket"
276 1040913.64 1647789.54 3307 "Prang Ku" "Si Sa Ket"
277 1083354.26 1614670.10 3308 "Khun Han" "Si Sa Ket"
278 1055568.00 1704625.62 3309 "Rasi Salai" "Si Sa Ket"
279 1055669.57 1676749.59 3310 "Uthumphon Phisai" "Si Sa Ket"
280 1044364.01 1699112.10 3311 "Bung Bun" "Si Sa Ket"
281 1041988.08 1668464.56 3312 "Huai Thap Than" "Si Sa Ket"
282 1115098.17 1656909.23 3313 "Non Khun" "Si Sa Ket"
283 1093641.19 1642946.15 3314 "Sri Ratana" "Si Sa Ket"
284 1094977.65 1656416.17 3315 "Nam Kliang" "Si Sa Ket"
285 1061059.12 1661374.60 3316 "Wang Hin" "Si Sa Ket"
286 1057304.75 1608967.02 3317 "Phu Sing" "Si Sa Ket"
287 1040691.55 1684993.57 3318 "Muang Chan" "Si Sa Ket"
288 1115833.20 1641109.22 3319 "Benchalak" "Si Sa Ket"
289 1079239.64 1654848.63 3320 "Phayu" "Si Sa Ket"
290 1046617.83 1689630.59 3321 "Pho Si Suwan" "Si Sa Ket"
291 1047502.10 1718888.59 3322 "Sila Lat" "Si Sa Ket"
292 1129143.04 1699425.81 3401 "Muang Ubon Ratchathani" "Ubon Ratchathani"
293 1188235.49 1730492.48 3402 "Si Muang Mai" "Ubon Ratchathani"
294 1197531.51 1719161.49 3403 "Khong Chiam" "Ubon Ratchathani"
295 1095412.01 1709131.22 3404 "Khuang Nai" "Ubon Ratchathani"
296 1155059.85 1774212.40 3405 "Khemarat" "Ubon Ratchathani"
297 1151170.20 1648043.81 3407 "Det Udom" "Ubon Ratchathani"
298 1169469.82 1617597.83 3408 "Na Chaluai" "Ubon Ratchathani"
299 1158910.85 1604931.28 3409 "Nam Yun" "Ubon Ratchathani"
300 1191340.29 1632056.40 3410 "Buntharik" "Ubon Ratchathani"
301 1152194.95 1733590.88 3411 "Trakan Phutphon" "Ubon Ratchathani"
302 1148537.38 1761474.89 3412 "Kut Khao Pun" "Ubon Ratchathani"
303 1114187.97 1725052.28 3414 "Muang Samsip" "Ubon Ratchathani"
304 1128536.10 1677129.29 3415 "Warin Chamrap" "Ubon Ratchathani"
305 1169379.10 1686796.40 3419 "Phibun Mangsahan" "Ubon Ratchathani"
306 1161309.02 1711429.39 3420 "Tan Sum" "Ubon Ratchathani"
307 1181085.42 1752983.97 3421 "Pho Sai" "Ubon Ratchathani"
308 1123636.65 1662068.24 3422 "Samrong" "Ubon Ratchathani"
309 1147953.02 1710420.86 3424 "Don Mot Daeng" "Ubon Ratchathani"
310 1194195.14 1680498.47 3425 "Si Rin Ton" "Ubon Ratchathani"
311 1138531.72 1638052.76 3426 "Thung Si Udom" "Ubon Ratchathani"
312 1153039.15 1674019.84 3429 "Na Yia" "Ubon Ratchathani"
313 1172220.35 1771597.46 3430 "Na Tan" "Ubon Ratchathani"
314 1136907.01 1716178.34 3431 "Lao Sua Kok" "Ubon Ratchathani"
315 1151777.57 1693692.34 3432 "Sawang Weerawong" "Ubon Ratchathani"
316 1137583.79 1614889.23 3433 "Nam Khun" "Ubon Ratchathani"
317 1055734.88 1756913.67 3501 "Muang Ya Sothon" "Yasothon"
318 1058681.83 1774943.69 3502 "Sai Mun" "Yasothon"
319 1065379.30 1783390.71 3503 "Kut Chum" "Yasothon"
320 1072981.93 1737928.19 3504 "Kham Khuan Kaeo" "Yasothon"
321 1077396.37 1759586.72 3505 "Pa Tiu" "Yasothon"
322 1064845.97 1721043.67 3506 "Maha Chana Chai" "Yasothon"
323 1072340.51 1706978.17 3507 "Kho Wang" "Yasothon"
324 1094307.77 1798999.28 3508 "Loeng Nok Tha" "Yasothon"
325 1083073.30 1786910.25 3509 "Thai Charoen" "Yasothon"
326 823202.75 1754774.76 3601 "Muang Chaiyaphum" "Chaiyaphum"
327 804098.26 1750304.24 3602 "Ban Khwao" "Chaiyaphum"
328 849738.75 1763059.80 3603 "Khon Sawan" "Chaiyaphum"
329 808647.04 1799821.78 3604 "Kaset Sombon" "Chaiyaphum"
330 781782.24 1791709.25 3605 "Nong Bua Daeng" "Chaiyaphum"
331 806603.55 1724140.21 3606 "Chatturat" "Chaiyaphum"
332 783964.86 1711047.66 3607 "Bamnet Narong" "Chaiyaphum"
333 782246.85 1750401.71 3608 "Nong Bua Rawae" "Chaiyaphum"
334 759636.48 1725965.16 3609 "Thep Sathit" "Chaiyaphum"
335 836722.82 1810056.33 3610 "Phu Khieo" "Chaiyaphum"
336 856577.72 1811842.84 3611 "Ban Thaen" "Chaiyaphum"
337 844651.20 1786451.81 3612 "Kaeng Khlo" "Chaiyaphum"
338 792543.85 1831740.28 3613 "Khon San" "Chaiyaphum"
339 760613.32 1765193.20 3614 "Phakdi Chumphol" "Chaiyaphum"
340 820809.15 1723737.23 3615 "Noen Sa-Nga" "Chaiyaphum"
341 780598.28 1727471.17 3616 "Sap Yai" "Chaiyaphum"
342 1104410.86 1763077.78 3701 "Muang Amnat Charoen" "Amnat Charoen"
343 1133276.78 1792755.37 3702 "Chanuman" "Amnat Charoen"
344 1132445.36 1766782.37 3703 "Pathum Ratwongsa" "Amnat Charoen"
345 1129052.93 1740442.33 3704 "Phana" "Amnat Charoen"
346 1108496.31 1783150.80 3705 "Senangkhanikhom" "Amnat Charoen"
347 1093316.43 1740126.74 3706 "Hua Taphan" "Amnat Charoen"
348 1111933.41 1743514.79 3707 "Lu Amnat" "Amnat Charoen"
349 863232.62 1899226.89 3901 "Muang Nong Bua Lam Phu" "Nong Bua Lam Phu"
350 844691.96 1916613.87 3902 "Na Klang" "Nong Bua Lam Phu"
351 875421.71 1871875.40 3903 "Non Sang" "Nong Bua Lam Phu"
352 842399.66 1881949.36 3904 "Si Bun Ruang" "Nong Bua Lam Phu"
353 843931.87 1942627.37 3905 "Suwan Khuha" "Nong Bua Lam Phu"
354 826748.03 1918141.36 3906 "Na Wang" "Nong Bua Lam Phu"
355 908559.40 1819975.44 4001 "Muang Khon Kaen" "Khon Kaen"
356 885285.99 1827743.40 4002 "Ban Fang" "Khon Kaen"
357 890740.51 1806490.88 4003 "Phra Yun" "Khon Kaen"
358 866343.54 1826425.87 4004 "Nong Rua" "Khon Kaen"
359 821347.72 1844615.82 4005 "Chum Phae" "Khon Kaen"
360 833001.35 1855511.84 4006 "Si Chomphu" "Khon Kaen"
361 912501.49 1850102.95 4007 "Nam Phong" "Khon Kaen"
362 890009.12 1860153.41 4008 "Ubol Ratana" "Khon Kaen"
363 935671.01 1857380.99 4009 "Kranuan" "Khon Kaen"
364 903527.67 1775874.40 4010 "Ban Phai" "Khon Kaen"
365 912870.50 1761374.90 4011 "Puai Noi" "Khon Kaen"
366 883457.17 1751587.35 4012 "Phon" "Khon Kaen"
367 870754.58 1763681.33 4013 "Waeng Yai" "Khon Kaen"
368 866016.22 1749139.32 4014 "Waeng Noi" "Khon Kaen"
369 907444.28 1746756.38 4015 "Nong Song Hong" "Khon Kaen"
370 861057.35 1848468.88 4016 "Phu Wiang" "Khon Kaen"
371 876371.68 1797838.38 4017 "Mancha Khiri" "Khon Kaen"
372 878835.72 1774965.35 4018 "Chonnabot" "Khon Kaen"
373 904559.58 1876982.95 4019 "Khao Suan Kwang" "Khon Kaen"
374 803654.36 1852533.31 4020 "Phupa Man" "Khon Kaen"
375 933171.93 1834941.97 4021 "Sam Sung" "Khon Kaen"
376 862641.27 1779747.84 4022 "Khok Pho Chai" "Khon Kaen"
377 854199.27 1862252.87 4023 "Nong Na Kham" "Khon Kaen"
378 902438.39 1796304.41 4024 "Ban Haet" "Khon Kaen"
379 894385.54 1768918.37 4025 "Non Sila" "Khon Kaen"
380 901406.27 1926492.96 4101 "Muang Udon Thani" "Udon Thani"
381 875716.36 1931272.92 4102 "Kut Chap" "Udon Thani"
382 879875.95 1903375.90 4103 "Nong Wua So" "Udon Thani"
383 922731.50 1891715.98 4104 "Kumphawapi" "Udon Thani"
384 913125.49 1879521.96 4105 "Non Sa-at" "Udon Thani"
385 937831.06 1924040.01 4106 "Nong Han" "Udon Thani"
386 949409.96 1938967.02 4107 "Thung Fon" "Udon Thani"
387 957750.26 1909701.04 4108 "Chai Wan" "Udon Thani"
388 948373.10 1888899.51 4109 "Sri That" "Udon Thani"
389 978514.19 1886624.06 4110 "Wang Sam Mo" "Udon Thani"
390 951510.76 1962749.02 4111 "Ban Dung" "Udon Thani"
391 871301.88 1959921.41 4117 "Ban Phu" "Udon Thani"
392 836793.39 1966074.86 4118 "Nam Som" "Udon Thani"
393 914687.75 1959350.98 4119 "Phen" "Udon Thani"
394 928702.06 1972396.98 4120 "Srang Khom" "Udon Thani"
395 900789.16 1898457.44 4121 "Nong Saeng" "Udon Thani"
