plotid	x	y	distname	distcode
249	660878.95	1540908.30	Bang Tanai	120605
250	659645.23	1540702.29	Klong Phra Udom	120606
251	658811.65	1536786.78	Tha It	120607
252	659860.50	1538213.79	Ko Kret	120608
253	657550.15	1537718.80	Om Kret	120609
254	654676.14	1544578.30	Klong Khoi	120610
255	657822.14	1539863.30	Bang Phlap	120611
256	666747.36	1538302.78	Khlong Klue	120612
257	664946.69	1549594.32	Bang Prok	130101
258	667654.14	1544698.81	Ban Mai	130102
259	668247.63	1549478.34	Ban Klang	130103
260	662405.99	1551884.84	Ban Chang	130104
261	667655.69	1552071.83	Ban Kra Chaeng	130105
262	664506.23	1544299.81	Bang Kha Yaeng	130106
263	661561.45	1543823.30	Bang Khu Wat	130107
264	660890.53	1549433.31	Bang Luang	130108
265	660845.34	1547760.83	Bang Dua	130109
266	671569.61	1553627.34	Bang Thut	130110
267	671065.00	1548095.32	Bang Phun	130111
268	667167.35	1546991.81	Bang Kadi	130112
269	670167.80	1551011.84	Suan Pring Thai	130113
270	671256.55	1544247.82	Lak Hok	130114
271	673371.84	1556536.84	Khlong Nung	130201
272	677025.50	1557147.34	Khlong Song	130202
273	679471.06	1558143.35	Khlong Sam	130203
274	682063.29	1559080.35	Khlong Si	130204
275	684262.44	1560131.35	Khlong Ha	130205
276	686767.86	1561257.35	Khlong Hok	130206
277	688797.46	1562236.37	Khlong Chet	130207
278	675975.55	1547145.32	Prachathipat	130301
279	682097.17	1548818.34	Bang Yitho	130302
280	686995.57	1550549.83	Rangsit	130303
281	692074.77	1552415.36	Lam Phak Kut	130304
282	696905.88	1554194.85	Bung Sanan	130305
283	703002.43	1556473.86	Bung Nam Rak	130306
284	696871.21	1560532.36	Bung Ba	130401
285	692010.97	1557995.85	Bung Bon	130402
286	696686.62	1571131.88	Bung Ka Sam	130403
287	691865.76	1568198.38	Bung Cham O	130404
288	702874.87	1562539.86	Nong Sam Wang	130405
289	705503.66	1572049.39	Sala Khru	130406
290	701606.14	1572280.89	Noparat	130407
291	650462.67	1555093.33	Ra Haeng	130501
292	651955.72	1549638.82	Lat Lum Kaeo	130502
293	658329.83	1554022.82	Khu Bang Luang	130503
294	654827.67	1555715.33	Khu Khwang	130504
295	656152.53	1547587.80	Klong Phra Udom	130505
296	649667.97	1558950.33	Bo Ngoen	130506
297	646649.40	1553338.31	Na Mai	130507
298	676378.35	1543683.82	Khu Khot	130601
299	681999.31	1543679.83	Lat Sawai	130602
300	686940.58	1544706.09	Bung Kham Proi	130603
301	691692.58	1545998.89	Lam Luk Ka	130604
302	696624.61	1547175.79	Bung Thong Lang	130605
303	701115.59	1545699.34	Lam Sai	130606
304	702993.94	1552627.86	Bung Khohai	130607
305	704724.99	1545966.34	Phut U-dom	130608
306	659113.72	1557749.33	Bang Toei	130701
307	660487.97	1558700.34	Khlong Khwai	130702
308	663735.34	1554685.84	Sam Khok	130703
309	666661.49	1553086.33	Krachaeng	130704
310	664188.69	1552690.32	Bang Pho Nua	130705
311	669524.24	1555083.33	Chiang Rak Yai	130706
312	668504.69	1556611.84	Ban Pa-thum	130707
313	666782.34	1557246.84	Ban Ngiu	130708
314	668846.67	1560460.84	Chiang Rak Noi	130709
315	664728.12	1559704.84	Bang Krabu	130710
316	662953.68	1560580.84	Thai Ko	130711
317	668131.18	1587150.64	Pratuchai	140101
318	670619.16	1587094.58	Kramang	140102
319	669980.91	1587452.06	Ho Rattanachai	140103
320	669904.43	1588714.43	Hua Ro	140104
321	667765.18	1587843.89	Tha Wa Su Kri	140105
322	671943.82	1587269.39	Phai Ling	140106
323	665504.60	1582507.39	Pak Kran	140107
324	666112.86	1588547.90	Phu Khao Thong	140108
325	668599.07	1585708.89	Samphao Lom	140109
326	667966.31	1591090.90	Suan Plik	140110
327	668681.57	1583884.90	Klong Ta Khian	140111
328	665797.51	1591210.39	Wat Tum	140112
329	671988.55	1589626.40	Han Tra	140113
330	666919.66	1590135.39	Lum Phli	140114
331	663931.36	1590968.89	Ban Mai	140115
332	670831.75	1591111.40	Ban Ko	140116
333	672356.55	1585108.40	Klong Suan Plu	140117
334	668361.41	1589133.40	Khlong Sra Bua	140118
335	669922.17	1583692.53	Ko Rian	140119
336	664867.81	1585858.39	Ban Pom	140120
337	667073.46	1581773.39	Ban Run	140121
338	685144.56	1610794.94	Tha Rua	140201
339	687688.21	1610329.94	Cham Pa	140202
340	689723.62	1608673.44	Tha Luang	140203
341	682680.21	1610579.43	Ban Rom	140204
342	683112.76	1607624.44	Salaloi	140205
343	678028.18	1608125.44	Wang Daeng	140206
344	679749.11	1606295.43	Pho En	140207
345	680374.44	1604127.92	Pak Tha	140208
346	685631.00	1605348.44	Nong Khanak	140209
347	684122.64	1608864.43	Tha Chao Sanuk	140210
348	674696.19	1600601.42	Nakhon Luang	140301
349	678003.19	1604505.92	Tha Chang	140302
350	672739.07	1593044.40	Bo Pong	140303
351	676502.31	1598762.42	Ban Chung	140304
352	673292.90	1596907.41	Pak Chan	140305
353	671118.91	1599818.90	Bang Rakam	140306
354	672559.05	1602139.92	Bang Phra Khru	140307
355	673941.95	1603938.42	Mae La	140308
356	676648.82	1594726.91	Nong Pling	140309
357	672612.16	1595098.40	Khlong Sakae	140310
358	680254.86	1601120.93	Sam Thai	140311
359	675571.00	1605253.45	Phra Non	140312
360	659915.37	1569474.35	Bang Sai	140401
361	658411.57	1570467.37	Bang Phli	140402
362	663046.32	1571227.35	Sanamchai	140403
363	662437.72	1573634.86	Ban Paeng	140404
364	657886.81	1582637.88	Na Mai	140405
365	655982.56	1580927.38	Bang Yi Tho	140406
366	658639.19	1582026.87	Khae Ok	140407
367	659015.56	1579253.87	Khae Tok	140408
368	656458.71	1577986.87	Chang Lek	140409
369	662113.66	1578992.36	Krachaeng	140410
370	661898.51	1581448.38	Ban Klung	140411
371	662363.52	1576155.87	Chang Noi	140412
372	658847.41	1577006.37	Ho Mok	140413
373	654599.06	1572830.35	Phai Phra	140414
374	654598.51	1568334.85	Ko Kaeo Burapha	140415
375	659112.04	1565796.85	Mai Tra	140416
376	660345.62	1563626.84	Ban Ma	140417
377	657530.66	1574202.37	Ban Ko	140418
378	663593.96	1568651.36	Ratchakham	140419
379	664339.22	1566310.84	Chang Yai	140420
380	665603.95	1563532.35	Pho Taeng	140421
381	667681.93	1562634.84	Chiang Rak Noi	140422
382	660692.76	1562060.86	Khok Chang	140423
383	657556.85	1593214.90	Bang Ban	140501
384	659405.05	1591067.39	Wat Yom	140502
385	660352.13	1592965.40	Chai Noi	140503
386	659634.31	1588606.39	Saphan Thai	140504
387	663031.35	1587497.88	Mahar Phram	140505
388	658191.69	1588247.89	Kop Chao	140506
389	656895.35	1586464.38	Ban Khlang	140507
390	659771.76	1584688.38	Phra Khao	140508
391	654928.90	1584885.38	Nam Tao	140509
392	654092.75	1589304.37	Thang Chang	140510
393	654533.75	1591016.39	Wat Taku	140511
394	654723.79	1592656.89	Bang Luang	140512
395	654746.94	1593926.88	Bang Luang Dot	140513
396	654630.88	1595885.40	Bang Hak	140514
397	658150.49	1595666.42	Bang Cha Ni	140515
398	660258.00	1596409.41	Ban Khum	140516
399	672590.86	1574116.37	Ban Len	140601
400	670842.09	1566396.35	Chiang Rak Noi	140602
401	671521.63	1578307.88	Ban Pho	140603
402	672536.41	1582140.40	Ban Krot	140604
403	668885.78	1568873.85	Bang Krasun	140605
404	674363.74	1572630.38	Khlong Chik	140606
405	675732.02	1576991.37	Ban Wa	140607
406	667657.97	1576203.38	Wat Yom	140608
407	666427.32	1579483.87	Bang Pradaeng	140609
408	677873.32	1580250.88	Sam Ruan	140610
409	666914.08	1570752.88	Ko Koet	140611
410	667308.28	1572814.37	Ban Phap	140612
411	667661.38	1574596.87	Ban Paeng	140613
412	675019.08	1582142.39	Khung Lan	140614
413	675828.77	1578616.88	Taling Chan	140615
414	679945.14	1580232.88	Ban Sang	140616
415	667100.81	1578196.87	Talat Kriap	140617
416	670020.91	1580515.87	Khanon Luang	140618
417	667877.75	1598238.42	Bang Pahan	140701
418	668734.31	1594241.41	Khayai	140702
419	669874.85	1596235.92	Bang Dua	140703
420	667613.24	1602222.91	Sao Thong	140704
421	665759.05	1604982.92	Thang Klang	140705
422	669407.44	1603459.94	Bang Phloeng	140706
423	663567.40	1604804.42	Han Sang	140707
424	665842.38	1600337.91	Bang Nang Ra	140708
425	664991.95	1601491.41	Tanim	140709
426	662257.19	1599616.91	Thap Nam	140710
427	662675.95	1601699.91	Ban Ma	140711
